Record number,Call number,Title,Published,Description,Note,Summary,Subject - Person,Subject - Topical,Series,Link
.b3108770x,1364B/61,In loving memory of Pte. Richard Herron,1916,1 photomechanical print :,,"Private Richard Herron, No. 1548, 28th Battalion. Killed in action 29 July 1916.","Herron, Richard,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108770_1
.b31087711,1364B/62,In loving memory of Private Arthur Albert House,1917,1 photomechanical print :,,"Private Arthur House, No. 2339, 43rd Battalion, 4th Reinforcements. Killed in action 31 July 1917.","House, Arthur Albert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108771_1
.b31087723,1364B/63,In loving memory of Private Reuben William House,1918,1 photomechanical print :,,"Private Reuben House, No. 3774, 51st Battalion, 10th Reinforcement. Killed in action 24 April 1918.","House, Reuben William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108772_1
.b31087735,1364B/64,In loving memory of Private Sydney Reginald Hughes,1918,1 photomechanical print :,,"Private Sydney Hughes, No. 2926, 51st Battalion, 7th Reinforcements. Died of wounds 9 October 1918.","Hughes, Sydney Reginald,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108773_1
.b31087760,1364B/65,In loving memory of Private Thomas Hughes,1917,1 photomechanical print :,,"Private Thomas Hughes, No. 2668, 38th Battalion, 6th Reinforcements O.F. Killed in action 14 October 1917.","Hughes, Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108776_1
.b31087772,1364B/66,In loving memory of Private Cecil Edward Humphry,1916,1 photomechanical print :,,"Private Cecil Humphry, No. 1657, 44th Battalion. Died of disease 5 December 1916.","Humphry, Cecil Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108777_1
.b31087784,1364B/67,In loving memory of Private E. W. T. Humphry,1917,1 photomechanical print :,,"Private Edgar William Thomas Humphry No. 3389, 51st Battalion. Died of wounds 30 September 1917.","Humphry, Edgar William Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108778_1
.b3108784x,1364B/68,In loving memory of Private Cecil John Brisbane Huxtable,1917,1 photomechanical print :,,"Private Cecil John Brisbane Huxtable, No. 6274, 28th Battalion, 18th Reinforcements. Killed in action 4 October 1917.","Huxtable, Cecil John Brisbane,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108784_1
.b31087863,1364B/69,In loving memory of Pte. William Henry Jackson,1918,1 photomechanical print :,,"Private William Henry Jackson, No. 3884, 51st Battalion, 11th Reinforcement. Killed in action 25 April 1918.","Jackson, William Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108786_1
.b31087887,1364B/70,In loving memory of Pte. Oscar James,1918,1 photomechanical print :,,"Private Oscar James, No. 4349, 48th Battalion. Killed in action 3 May 1918.","James, Oscar,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108788_1
.b31087899,1364B/71,In loving memory of Pte. William Edward James,1918,1 photomechanical print :,,"Private William Edward James, No. 15021, 51st Battalion, 13th Brigade, 4th Division. Killed in action 12 September 1918.","James, William Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108789_1
.b31087917,1364B/72,In loving memory of Private Robert James Jenkins,1917,1 photomechanical print :,,"Private Robert James Jenkins, No. 3553, 51st Battalion. Killed in action 13 October 1917.","Jenkins, Robert James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108791_1
.b31087929,1364B/73,In loving memory of Lance-Cpl. Charles Thomas Johnson,1917,1 photomechanical print :,,"Lance Corporal Charles Thomas Johnson, No. 3017, 48th Battalion, 7th Reinforcements. Killed in action 9 June 1917.","Johnson, Charles Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108792_1
.b31087942,1364B/74,In loving memory of Private Ronald Alf. [ie Owen] Jones,1918,1 photomechanical print :,Private Jones' middle name is in fact Owen as is clearly seen in the signature of his enlistment papers. (see National Archives of Australia site),"Private Ronald Jones, No. 4017, 10th Reinforcements, 32nd Battalion, 8th Brigade, 5th Division. Killed in action 25 June 1918.","Jones, Ronald Owen,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108794_1
.b31087966,1364B/75,In loving memory of Private Walter Henry Jones,1918,1 photomechanical print :,,"Private Walter Jones, No. 3886, 51st Battalion, 11th Reinforcements. Died of wounds 5 May 1918.","Jones, Walter Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108796_1
.b3108798x,1364B/76,In loving memory of Private Claude Thomas Keirel,1917,1 photomechanical print :,,"Private Claude Keirel, No. 5736, 16th Battalion, 18th Reinforcements. Killed in action 11 April 1917.","Keirel, Claude Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108798_1
.b31087991,1364B/77,In loving memory of Lieut. Bertram Thomas Kell,1918,1 photomechanical print :,,"Lieutenant Bertram Kell, No. 965, 44th Battalion. Died of wounds 8 August 1918.","Kell, Bertram Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108799_1
.b31088016,1364B/78,In loving memory of Private Thomas James Kelly and Lance Cpl. James Henry Kelly,1916,1 photomechanical print :,,"Private Thomas Kelly, No. 2233, 16th Battalion, 6th Reinforcements. Killed in action at Gallipoli 7 August 1915. His brother Lance Corporal James Kelly, No. 2692, 51st Battalion, Killed in action on the Somme 3 September 1916.","Kelly, Thomas James,;Kelly, James Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108801_1
.b31088028,1364B/79,In loving memory of Sapper William Cowie Kemp,1917,1 photomechanical print :,,"Sapper William Kemp, No. 1059, 3rd Tunnellers. Killed in action 12 November 1917.","Kemp, William Cowie,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108802_1
.b3108803x,1364B/80,In loving memory of Pte. Evan Kennedy,1917,1 photomechanical print :,,"Private Evan Thomas Kennedy, No. 3062, 3rd Pioneers Battalion. Died of disease 7 August 1917.","Kennedy, Evan Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108803_1
.b31088041,1364B/81,In loving memory of Private Frederick W. V. King,1917,1 photomechanical print :,,"Private Frederick King, No. 5127, 11th Battalion. Died of disease 27 January 1917.","King, Frederick William Vernon,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108804_1
.b31088053,1364B/82,In loving memory of Private Eric Lang,1916,1 photomechanical print :,,"Private Eric Lang, No. 5129, 48th Battalion. Killed in action 7 August 1916. His obituary gives an eye witness account of his death on the Somme battlefield and sites the date as 7 August, official army record give 8 August.","Land, Eric,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108805_1
.b31088077,1364B/83,In loving memory of L.-Sergeant Horace Samuel Lathby,1918,1 photomechanical print :,,"Lance Sergeant Horace Lathby, No. 3859, 11th Battalion. Killed in action 16 April 1917.","Lathby, Horace Samuel,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108807_1
.b31088089,1364B/84,In loving memory of Pte. George William Lawford,1916,1 photomechanical print :,,"Private George Lawford, No. 5395, 28th Battalion, 14th Reinforcements. Died of meningitis 7 September 1916.","Lawford, George William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108808_1
.b31088090,1364B/85,In loving memory of Private Richard Leonard Lawless,1917,1 photomechanical print :,,"Private Richard Lawless, No. 6788, 11th Battalion, 22nd Reinforcements. Died of wounds 8 May 1917.","Lawless, Richard Leonard,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108809_1
.b31088107,1364B/86,In loving memory of Pte. James Lawrence and Lance Corporal William Lawrence,1918,1 photomechanical print :,,"Private James Lawrence, 6th K.O.S.D., M.M. and his brother Lance Corporal William Lawrence of the Gordon Highlanders, killed in 1916. Both lived in Scotland and were brothers to Mrs Annut of Narrogin, W.A.","Lawrence, James,;Lawrence, William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108810_1
.b31088429,1364B/87,In loving memory of Private George Brown Leadbitter,1917,1 photomechanical print :,,"Private George Leadbitter, No. 2667, 51st Battalion. Died of wounds 26 August 1917.","Leadbitter, George Brown,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108842_1
.b31088442,1364B/88,In loving memory of Private Arthur Lewis,1917,1 photomechanical print :,,"Private Arthur Lewis, No. 5039, 28th Battalion. Killed in action 3 March 1917 (Official records say 28 February).","Lewis, Arthur,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108844_1
.b31088454,1364B/89,In loving memory of Private Herbert George Lewis,1916,1 photomechanical print :,,"Private Herbert George Lewis, No. 3862, 51st Battalion. Died of wounds while a prisoner of war, 26 August 1916. (Offical records have 28 August)","Lewis, Herbert George,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108845_1
.b31088466,1364B/90,In loving memory of Private Reginald Lewis,1918,1 photomechanical print :,,"Private Reginald Peter Lewis, No. 5038, 28th Battalion. Killed in action 29 August 1918. (Official records have 29 September 1918.)","Lewis, Reginald Peter,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108846_1
.b3108848x,1364B/91,In loving memory of Private Robert William Lewis,1917,1 photomechanical print :,,"Private Robert William Lewis, No. 3864, 1st Division, 1st Pioneers. Died of wounds 23 October 1917.","Lewis, Robert William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108848_1
.b3108851x,1364B/92,In loving memory of Sergt. James Lowe,1915,1 photomechanical print :,,"Sergeant James Lowe, 7th Battalion. Killed in action at Gallipoli 27 April 1915. [Official records have him in 11th Battalion and dying on 2 May 1915, regimental no. 926]","Lowe, James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108851_1
.b31088521,1364B/93,In loving memory of Pte. Frederick William Lucas,1917,1 photomechanical print :,,"Private Frederick Lucas, No. 5629, 28th Battalion, 15th Reinforcement. Killed in action 26 March 1917.","Lucas, Frederick William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108852_1
.b31088545,1364B/94,In loving memory of Corporal Cecil Allen Lulham,1916,1 photomechanical print :,,"Corporal Cecil Lulham, No. 310, 15th Battalion. Killed in action 9 August 1916.","Lulham, Cecil Allen,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108854_1
.b31088557,1364B/95a,In loving memory of Sergt. Angus Frank Lyon,1916,1 photomechanical print :,,"Sergeant Angus Frank Lyon, No. 1372, 11th Battalion, C Coy, 3rd Brigade. Killed in action 23 July 1916 (according to official records)","Lyon, Angus Frank,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108855_1
.b31088570,1364B/95b,In loving memory of Private George Sylvester Lynall,1918,1 photomechanical print :,,"Private George Lynall, No. 6854, 28th Battalion, 20th Reinforcement. Killed in action 3 October 1918.","Lynall, George Sylvester,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108857_1
.b31088880,1364B/96,In loving memory of Lance Cpl. Dugald James McArthur,1916,1 photomechanical print :,,"Lance Corporal Dugald McArthur No. 1019, 32nd Battalion. Killed in action 19 July 1916.","McArthur, Dugald James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108888_1
.b31088892,1364B/97,In loving memory of Private John William McCarthy,1916,1 photomechanical print :,,"Private John McCarthy, No. 5386, 16th Battalion, 17th Reinforcement. Killed in action 31 August 1916.","McCarthy, John William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108889_1
.b31088909,1364B/98,In loving memory of Sapper Arnold George McComish,ca. 1916.,1 photomechanical print :,,"Sapper Arnold McComish, 3rd Field Company Engineers, 12th Reinforcement. Killed in action at Pozieres and buried by his friends in a gully between Centralmaison and Pozieres, no date is available on this card or in the official records.","McComish, Arnold George,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108890_1
.b31088910,1364B/99,In loving memory of Lieut. David Henderson McDonald [ie MacDonald],1915,1 photomechanical print :,Official records and enlistment papers show the spelling to be MacDonald.,"Lieutenant David MacDonald, 11th Battalion. Killed in action at Gallipoli, 28 June 1915.","MacDonald, David Henderson,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108891_1
.b31088922,1364B/100,In loving memory of 2nd Lieut. William Joseph McDonald M.M.,1917,1 photomechanical print :,,"2nd Lieutenant William McDonald, No. 2787, 51st Battalion. Awarded the Military Medal for conspicuous bravery at Messines. Killed in action 26 September 1917.","McDonald, William Joseph,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108892_1
.b31088934,1364B/101,In loving memory of Corporal Charles Walter McEntee,1917,1 photomechanical print :,,"Corporal Charles McEntee, No. 2505, 16th Battalion, 7th Reinforcement. Died in Germany a prisoner of war 1 May 1917.","McEntee, Charles Walter,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108893_1
.b31088946,1364B/102,In loving memory of Private Edward McGhee,1918,1 photomechanical print :,,"Private Edward McGhee, No. 5899, 28th Battalion, 16th Reinforment. Killed in action 3 October 1918.","McGhee, Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108894_1
.b31088958,1364B/103,In loving memory of Private Alexander Grant McKenzie,1918,1 photomechanical print :,,"Private Alexander McKenzie, No. 5761, 16th Battalion, 18th Reinforcement. Died of Spanish Influenza while a prisoner of war 12 October 1918.","McKenzie, Alexander Grant,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108895_1
.b3108896x,1364B/104,In loving memory of Priv. Edward Walter McKernan,1917,1 photomechanical print :,,"Private Edward McKernan, No.6059, 16th Battalion, 19th Reinforcement. Died of wounds while a prisoner of war 13 June 1917.","McKernan, Edward Walter,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108896_1
.b31088971,1364B/105,In loving memory of Private James McLeod,1917,1 photomechanical print :,,"Private James McLeod, No. 5147, 11th Battalion, 16th Reinforcement. Killed in action 2 November 1917.","McLeod, James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108897_1
.b31088983,1364B/106,In loving memory of Private Stanley McWhinney,1917,1 photomechanical print :,,"Private Stanley McWhinney, No. 6305, 16th Battalion. Died while a prisoner of war 16 August 1917.","McWhinney, Stanley,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108898_1
.b31088995,1364B/107,In loving memory of Pte. Percival Ernest Allen Maddock,1917,1 photomechanical print :,,"Private Percival Maddock, No. 6292, 32nd Battalion (late of the 16th Battalion). Killed in action 29 September 1917. (Official records have 30 Sept.)","Maddock, Percival Ernest Allen,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108899_1
.b3108901x,1364B/108,In loving memory of L.-Corpl. Walter Neil Emery Manson,1917,1 photomechanical print :,,"Lance Corporal Walter Manson, No. 2765, 39th Battalion. Killed in action 12 October 1917.","Manson, Walter Neil Emery,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108901_1
.b31089021,1364B/109,In loving memory of Private Francis Vyner Mason,1917,1 photomechanical print :,,"Private Francis Mason, No. 5844, 28th Battalion, 16th Reinforcement. Died of wounds 3 May 1917.","Mason, Francis Vyner,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108902_1
.b31089033,1364B/110,In loving memory of Sergt. Robert Hilton Matheson,1918,1 photomechanical print :,,"Sergeant Robert Matheson, No. 3456, 28th Battalion. Killed in action 23 May 1918.","Matheson, Robert Hilton,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108903_1
.b31089057,1364B/111,In loving memory of Sergeant Frank Matthews,1915,1 photomechanical print :,,"Sergeant Frank Mathews, No. 71, 11th Battalion. Killed in action at Gallipoli 2 May 1915. (Official records have 3 May 1915)","Matthews, Frank",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108905_1
.b31089069,1364B/112,In loving memory of Pte. James William Matthews,1916,1 photomechanical print :,,"Private James Matthews, No. 3140, 48th Battalion. Killed in action 31 August 1916.","Matthews, James William",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108906_1
.b31089094,1364B/113,Private Walter Marshall,1918,1 photomechanical print :,,"Private Walter Marshall, No.626, 10th Light Horse. A Gallipoli veteran and fought in Egypt. Returned to Australian 10 July 1919.","Marshall, Walter",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108909_1
.b31089112,1364B/114,In loving memory of Private Horace Frank Mawdesley,1915,1 photomechanical print :,,"Private Horace Mawdesley enlisted in the British Forces in Winchester, England. Born in 1889 in Geraldton, his parents Frank and Lillian live in Bunbury. Killed in action 9 May 1915 and Neuve Chapelle. Horace Frank Mawdesley had 2 brothers Percy James Mawdesley , enlisted 15 February 15, 28th Battalion, returned to Australia 29 Jan 1916 and Stanley Mawdesley enlisted 25 October 1916 3rd Pioneer Battalion and returned to Australia 1 June 1919. Both from Bunbury, WA (Information about the brothers suppied by P. Joy 2012)","Mawdesley, Horace Frank",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108911_1
.b31089124,1364B/115,In loving memory of Sergt. Ernest William Albert Miller,1916,1 photomechanical print :,,"Sergeant Ernest Miller, No. 1601, 51st Battalion. Killed in action 3 September 1916 aged 17.6.","Miller, Ernest William Albert",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108912_1
.b3108915x,1364B/116,In loving memory of Private James Miller,1916,1 photomechanical print :,,"Private James Miller, No. 456, 11th Battalion. Killed in action 14 August 1916.","Miller, James",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108915_1
.b31089161,1364B/117,Private Jack R. Mills and his brother Private George Arthur Mills,1918,1 photomechanical print :,,"Jack R. Mills, No. 3079, 3rd Pioneer Battalion and his brother George Mills, no. 6542, 11th Battalion, 21st Reinforcement, transferred 3rd Pioneer Battalion. Both came home to Bunbury.","Miller, Jack R.,;Miller, George Arthur,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108916_1
.b31089173,1364B/118,In loving memory of Private Walter Wilton Mincham,1915,1 photomechanical print :,,"Private Walter Mincham, No. 1841, 16th Battalion, 4th Reinforcement. Killed in action at Gallipoli 8 August 1915.","Mincham, Walter Wilton,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108917_1
.b31089185,1364B/119,In loving memory of Pte. Henry Howard Mitchell,1917,1 photomechanical print :,,"Private Henry Mitchell, No. 3429, 11th Battalion. Killed in action 21 September 1917.","Mitchell, Henry Howard,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108918_1
.b31089215,1364B/120,In loving memory of Private Harry Moore and his brother Pte. Thomas Vincent Moore,1917,1 photomechanical print :,,"Private Harry Moore, No. 1974, 28th Battalion, 3rd Reinforcement. Killed in action 5 November 1916 on the Somme. His brother Private Thomas Vincent Moore, No. 3147, 16th Battalion. Died of wounds 15 September 1916.","Moore, Harry;Moore, Thomas Vincent,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3108921_1
