Record number,Call number,Title,Published,Description,Note,Summary,Subject - Person,Subject - Topical,Series,Link
.b31090023,1364B/121,In loving memory of Private William Joseph Morcom,1917,1 photomechanical print :,,"Private William Morcom, No. 355, 44th Battalion. Died of wounds 27 January 1917.","Morcom, William Joseph,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109002_1
.b31093309,1364B/122,Gunner John Francis Morgan,1919,1 photomechanical print :,,"Gunner John Morgan, No. 1622, 10th Light Horse, 12th Reinforcement. Returned to Australia 4 June 1919.","Morgan, John Francis,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109330_1
.b31093863,1364B/123,In loving memory of Private Joseph Albert Mosey,1916,1 photomechanical print :,,"Private Joseph Mosey, No. 3578, 28th Battalion, 8th Reinforcement. Killed in action 14-16 August 1916 on the Somme.","Mosey, Joseph Albert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109386_1
.b31093887,1364B/124,In loving memory of Pte. William Charles Murray,1917,1 photomechanical print :,,"Private William Murray, No. 7049, 16th Battalion, 23rd Reinforcement. Killed in action 16 August 1917 at Messines.","Murray, William Charles,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109388_1
.b31093899,1364B/125,In loving memory of Corporal Stephen O'Gorman M.M.,1918,1 photomechanical print :,,"Corporal Stephen O'Gorman, No. 2435, 44th Battalion. Awarded the Military Medal for bravery on the field 25 January 1918. Died of wounds 31 March 1918.","O'Gorman, Stephen,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109389_1
.b31093917,1364B/126,In loving memory of L.-Corpl. Maurice Corby O'Keeffe,1918,1 photomechanical print :,,"Lance Corporal Maurice O'Keeffe. No. 7280, 16th Battalion, 24th Reinforcement. Killed in action 8 August 1918.","O'Keeffe, Maurice Corby,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109391_1
.b31093929,1364B/127,In loving memory of Bombadier George Henry Olive,1917,1 photomechanical print :,,"Bombadier George Olive, No. 2091, 10th Light Horse, 14th Reinforcement. Killed in action 3 May 1917.","Olive, George Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109392_1
.b31093930,1364B/128,In loving memory of Pte. Lewis Edward Oliver,1917,1 photomechanical print :,,"Private Lewis Oliver, No. 6197, 28th Battalion, 17th Reinforcement. Killed in action 10 December 1917.","Oliver, Lewis Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109393_1
.b31093954,1364B/129,In loving memory of Pte. Albert O'Neil,1915,1 photomechanical print :,,"Private Albert O'Neil, No. 470, 11th Battalion. Killied in action at Gallipoli 29 May 1915.","O'Neil, Albert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109395_1
.b31093966,1364B/130,In loving memory of Private Bertram Onn,1918,1 photomechanical print :,,"Private Bertram Onn, No. 6129, 28th Battalion, 17th Reinforcement. Killed in action 19 April 1918.","Onn, Bertram,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109396_1
.b3109398x,1364B/131,In loving memory of Private A. W. (Bert) Painter,1916,1 photomechanical print :,,"Private A. W. (Bert) Painter, No. 1510, 16th Battalion. Killed in action 6 August 1916.","Painter, Albert William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109398_1
.b31094016,1364B/132,In loving memory of Private Arthur Charles Passmore,1916,1 photomechanical print :,,"Private Arthur Passmore, No. 2199, 28th Battalion, 4th Reinforcement. Killed in action 29 July 1916.","Passmore, Arthur Charles,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109401_1
.b31094028,1364B/133,In loving memory of Captain James Peat,1917,1 photomechanical print :,,"Captain James Peat, 44th Battalion (late original 11th Battalion). Killed in action 27 June 1917.","Peat, James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109402_1
.b3109403x,1364B/134,In loving memory of Private Albert Stanley Perris,1916,1 photomechanical print :,,"Private Albert Perris, No. 3623, 28th Battalion. Killed in action 5 July 1916.","Perris, Albert Stanley,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109403_1
.b31094041,1364B/135,In loving memory of Reginald Arthur Phease,1915,1 photomechanical print :,,"Reginald Phease, No. 88, 16th Battalion. Killed in action at Gallipoli 30 April 1915.","Phease, Reginald Arthur,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109404_1
.b31094053,1364B/136,In loving memory of Lieut. Robert George Plummer,1919,1 photomechanical print :,,"Lieutenant Robert Plummer, No. 2840, 6th Battalion, M.C. Awarded the Military Cross. Died of the Spanish influenza in France 12 February 1919. (Official records show his death as 14 Feb.)","Plummer, Robert George,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109405_1
.b31094065,1364B/137,Private John Poad and his brother Corporal Charles Poad,1918,1 photomechanical print :,,"Private John Poad, No. 6291 [ie 6219], 16th Battalion. Born 16 September 1887, died of wounds 11 June 1918. His brother Corporal Charles Poad, No. 2006, 11th Battalion. Born 20 June 1890, killed in action 20 August 1916.","Poad, John Henry,;Poad, Charles Robert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109406_1
.b31094077,1364B/138,In loving memory of Lance-Corporal John Henry Porter,1917,1 photomechanical print :,,"Lance Corporal John Porter, No. 5425, 14th Battalion. Killed in action 11 April 1917.","Porter, John Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109407_1
.b31094089,1364B/139,In loving memory of Driver Edward Price,1918,1 photomechanical print :,,"Driver Edward Price, No. 4201, 28th Battalion, 10th Reinforcement. Died accidently 28 March 1918.","Price, Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109408_1
.b31094090,1364B/140,In loving memory of Private Andrew Reynolds,1918,1 photomechanical print :,,"Private Andrew Reynolds, No. 6375, 51st Battalion, B. Company. Killed in action 25 April 1918.","Reynolds, Andrew,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109409_1
.b31094119,1364B/141,"In loving memory of Lieu. William Richard Rogers D.C.M., M.M. and bar",1918,1 photomechanical print :,,"Lieutenant William Rogers, 16th Battalion. Killed in action 8 August 1918.","Rogers, William Richard,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109411_1
.b31095884,1364B/142,In loving memory of Private Thomas Adamthwaite Rudd,1918,1 photomechanical print :,,"Private Thomas Rudd, No. 592, 11th Battalion. Died of wounds received at Gallipoli 30 July 1915.","Rudd, Thomas Adamthwaite,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109588_1
.b31098411,1364B/143,In loving memory of Private Vivian Scott,1917,1 photomechanical print :,,"Private Vivian Scott, No. 4538, 11th Battalion, 28th Reinforcement. Killed in action 3 May 1917.","Scott, Vivian,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3109841_1
.b31104496,1364B/144,In loving memory of Private James Sheedy and his brother Able Seaman Frederick Sheedy,1917,1 photomechanical print :,,"Private James Sheedy, No. 13186, 12th Field Ambulance. Died of wounds 3 September 1916 (official records have 5 Sept.). Able Seaman Frederick Sheedy died while serving on HMS Laurentic on the North Irish coast 31 January 1917.","Sheedy, Frederick,;Sheedy, James,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110449_1
.b31104502,1364B/145,In loving memory of Corporal Joseph Shier,1918,1 photomechanical print :,,"Corporal Joseph Shier, No. 99, 11th Battalion. Killed in action 10 August 1918 at Amiens.","Shier, Joseph,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110450_1
.b31104514,1364B/146,In loving memory of Private Edward William Sibbritt,1918,1 photomechanical print :,,"Private Edward Sibbritt, No. 296, 2nd of the 4th Machine Gun Section. Killed in action 2 October 1918.","Sibbritt, Edward William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110451_1
.b3110454x,1364B/147,In loving memory of Private Alfred Sims,1917,1 photomechanical print :,,"Private Alfred Sims, No. 5430, 16th Battalion, 17th Reinforcement. Killed in action 11 April 1917.","Sims, Alfred Christopher Daniel,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110454_1
.b31104551,1364B/148,In loving memory of Private John Leonard Slavin M.M.,1917,1 photomechanical print :,,"Private John Slavin, No. 5200, 11th Battalion, 16th Reinforcement. Awarded the Military Medal. Killed in action 6 May 1917.","Slavin, John Leonard,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110455_1
.b31104575,1364B/149,In loving memory of Private John Walter Slight,1918,1 photomechanical print :,,"Private John Slight, No. 6581, 16th Battalion. Died of the Spanish influenza while a prisoner of war 12 December 1918.","Slight, John Walter,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110457_1
.b31104599,1364B/150,In loving memory of Private Lionel Smith,1919,1 photomechanical print :,,"Private Lionel Smith, No. 5466, 28th Battalion, 14th Reinforcement. Returned to Australia 31 March 1919.","Smith, Lionel Allison,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110459_1
.b31104629,1364B/151,In loving memory of Private Robert Edmund Smith,1917,1 photomechanical print :,,"Private Robert Edmund Smith, No. 2244, 51st Battalion, 4th Reinforcement. Killed in action 2 April 1917.","Smith, Robert Edmund,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110462_1
.b31104630,1364B/152,In loving memory of Corporal William John Smith,1917,1 photomechanical print :,,"Corporal William John Smith, No. 3533, 11th Battalion, 11th Reinforcement. Killed in action 9 April 1917 (reported on the 11th).","Smith, William John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110463_1
.b31104654,1364B/153,In loving memory of Private Oscar Ferdinand Stahl,1916,1 photomechanical print :,,"Private Oscar Stahl, No. 2671, 11th Battalion. Died of wounds 25 July 1916.","Stahl, Oscar Ferdinand,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110465_1
.b31104666,1364B/154,In loving memory of Private Alec Swinton,1918,1 photomechanical print :,,"Private Alec. Swinton, no. 4390, 2nd Pioneer Battalion. Killed in action 5 October 1918.","Swinton Alexander,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110466_1
.b31104678,1364B/155,In loving memory of Private William Pascoe Symonds,1917,1 photomechanical print :,,"Private William Symonds, No. 2474, 11th Battalion. Died of wounds 9 October 1917.","Symonds, William Pascoe,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110467_1
.b31104691,1364B/156,In loving memory of Lance-Cpl. Charles Clark Taylor,1916,1 photomechanical print :,,"Lance Corporal Charles Taylor, No. 727, 11th Battalion. Killed in action 23 July 1916.","Taylor, Charles Clark,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110469_1
.b31104708,1364B/157,In loving memory of Cpl. Ernest William Serls,1917,1 photomechanical print :,,"Corporal Ernest Serls, No. 2410, 44th Battalion, 4th Reinforcement. Killed in action 4 October 1917.","Serls, Ernest William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110470_1
.b3110471x,1364B/158,In loving memory of Sergeant Milton Herbert Thomas,1917,1 photomechanical print :,,"Sergeant Milton Thomas, No. 2265, 44th Battalion. Died of wounds 20 August 1917.","Thomas, Milton Herbert,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110471_1
.b31104745,1364B/159,In loving memory of Private Evan Thompson,1917,1 photomechanical print :,,"Private Evan Thompson, No. 604, 1st Pioneers late 11th Battalion. Killed in action 10 October 1916.","Thompson, Evan,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110474_1
.b31104769,1364B/160,In loving memory of Private Thomas Thompson,1917,1 photomechanical print :,,"Private Thomas Thompson, No. 302, 16th Battalion. Died of wounds 26 September 1917.","Thompson, Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110476_1
.b31104770,1364B/161,In loving memory of Driver Andrew Turner Thomson,1918,1 photomechanical print :,,"Driver Andrew Thomson, No. 6484, 4th Engineers. Killed in action 26 June 1918.","Thomson, Andrew Turner,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110477_1
.b31104794,1364B/162,In loving memory of Private Walter Clarence Thorpe,1917,1 photomechanical print :,,"Private Walter Thorpe, No. 4266, 28th Battalion, 10th Reinforcement. Died of wounds 9 April 1917.","Thorpe, Walter Clarence,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110479_1
.b31104824,1364B/163,In loving memory of Lance-Corporal Albert Thomas Ticklie M.M.,1917,1 photomechanical print :,,"Lance Corporal Albert Ticklie, No. 4347, 48th Battalion. Awarded the Military Medal. Killed in action 11 April 1917.","Ticklie, Albert Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110482_1
.b31104836,1364B/164,In loving memory of Pte. Alexander Tough,1918,1 photomechanical print :,,"Private Alexander Tough, No. 4394, 48th Battalion. Killed in action 3 May 1918 (see official records although this card has 1917.)","Tough, Alexander,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110483_1
.b3110485x,1364B/165,In loving memory of Pte. Cornelius John Townsend,1916,1 photomechanical print :,,"Private Cornelius Townsend, No. 1646, 11th Battalion. Killed in action 25 July 1916.","Townsend, Cornelius John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110485_1
.b31104873,1364B/166,In loving memory of Pte. Leonard Frank Trigwell,1916,1 photomechanical print :,,"Private Leonard Trigwell, No. 3562, 16th Battalion, 11th Reinforcement. Killed in action 12 August 1916.","Trigwell, Leonard Frank,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110487_1
.b31104915,1364B/167,In loving memory of Private Jamer [ie James] Valant Turner,1918,1 photomechanical print :,,"Private James Turner, No. 5931, 28th Battalion. Killed in action 2 September 1918.","Turner, James Valant,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110491_1
.b31104952,1364B/168,In loving memory of Sergeant Frank Ulrich,1918,1 photomechanical print :,,"Sergeant Frank Ulrich, No. 2237, 11th Battalion, 6th Reinforcement. Killed in action at Gallipoli 6 June 1915.","Ulrich, Frank,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110495_1
.b31104988,1364B/169,In loving memory of C.S.M. George Archer Walker,1918,1 photomechanical print :,,"Company Sergeant Major George Walker, No. 2326, 28th Battalion, 5th Reinforcement. Killed in action 1 June 1918.","Walker, George Archer,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110498_1
.b31105002,1364B/170,In loving memory of Lieut. William Thomas Walsh,1918,1 photomechanical print :,,"Lieutenant William Walsh, No. 4938, 51st Battalion. Died of wounds 13 October 1917.","Walsh, William Thomas,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110500_1
.b31105026,1364B/171,In loving memory of 1st Lieut. George Robert S. Walters,1918,1 photomechanical print :,,"1st Lieutenant George Walters, No. 1430, 11th Battalion. Killed in action 25 July 1916.","Walters, George Robert Stewart,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110502_1
.b31105051,1364B/172,In loving memory of Pte. Frederick Waterman,1916,1 photomechanical print :,,"Private Frederick Waterman, No. 8595, 2nd Field Ambulance. Died of wounds 27 July 1916.","Waterman, Frederick Thomas Samuel,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110505_1
.b31105063,1364B/173,In loving memory of Sglr. Alfred Charles Welshman,1918,1 photomechanical print :,,"Signaller Private Alfred Welshman, No. 186, 44th Battalion, A Company. Killed in action 8 June 1917.","Welshman, Alfred Charles,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110506_1
.b31105130,1364B/174,In loving memory of Private William Henry Wenn,1918,1 photomechanical print :,,"Private William Wenn, No. 6399, 28th Battalion. Killed in action 18 October 1917.","Wenn, William Henry,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110513_1
.b31105166,1364B/175,In loving memory of Pte. Arthur Werndly and Pte. Frederick Owen Werndly,1918,1 photomechanical print :,,"Private Arthur Werndly, No. 3229, 46th Battalion. Killed in action 18 September 1918. His brother Private Frederick Werndly, No. 4090, 32nd Battalion. Died of wounds 1 August 1918.","Werndly, Arthur,;Werndly, Frederick Owen,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110516_1
.b31105178,1364B/176,In loving memory of Private Ernest John White,1918,1 photomechanical print :,,"Private Ernest John White, No. 3526, 11th Battalion. Killed in action 6 May 1917.","White, Ernest John,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110517_1
.b3110518x,1364B/177,In loving memory of Private Harold Edwin White,1918,1 photomechanical print :,,"Private Harold Edwin White, No. 566, 44th Battalion. Killed in action 2 January 1917.","White, Harold Edwin,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110518_1
.b31105208,1364B/178,In loving memory of Pte. Leslie George Wilkinson,1918,1 photomechanical print :,,"Private Leslie Wilkinson, No. 1706, 44th Battalion. Killed in action 10 June 1917.","Wilkinson, Leslie George,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110520_1
.b31105221,1364B/179,In loving memory of Private Jack Williams,1918,1 photomechanical print :,,"Private Jack Williams, No. 6413, 28th Battalion. Enlisted in Kalgoorlie. Killed in action 20 September 1917.","Williams, Jack",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110522_1
.b31105233,1364B/180,In loving memory of Sapper Robert Edgar Willoughby,1918,1 photomechanical print :,,"Sapper Robert Willoughby, No. 4513, 3rd Tunnellers. Lived in Kalgoorlie and worked on the Great Boulder Mine. Died on pneumonia 19 October 1918.","Williams, Jack",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110523_1
.b31105257,1364B/181,In loving memory of Private William Joseph Willox,1918,1 photomechanical print :,,"Private William Willox, No. 6844, 11th Battalion. Killed in action 6 May 1917.","Willox, William Joseph,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110525_1
.b31105270,1364B/182,In loving memory of Pte. Merle Carr Wilson,1918,1 photomechanical print :,,"Private Merle Carr Wilson, No. 2759, 51st Battalion. Killed in action 2 April 1917.","Wilson, Merle Carr,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110527_1
.b31105294,1364B/183,In loving memory of Private Rupert William Wilson,1918,1 photomechanical print :,,"Private Rupert Wilson, No. 3660, 28th Battalion, 8th Reinforcement. Killed in action 29 July 1916.","Wilson, Rupert William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110529_1
.b31105300,1364B/184,In loving memory of Private George Edward Withers,1918,1 photomechanical print :,,"Private George Withers, No. 6847, 11th Battalion, 22nd Reinforcement. Died of wounds 6 May 1917.","Withers, George Edward,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110530_1
.b31105312,1364B/185,In loving memory of Signaller George William Worley,1918,1 photomechanical print :,,"Signaller George William Worley, No. 2910, 44th Battalion. Killed in action 5 October 1917.","Worley, George William,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110531_1
.b31105324,1364B/186,In loving memory of Private Albert Steven Wragg,1918,1 photomechanical print :,,"Private Albert Wragg, No. 2246, 11th Battalion, 6th Reinforcement. Killed in action 6 April 1917.","Wragg, Albert Steven,",Soldiers;Online image.,"Collection of ""In Memoriam"" cards with photographs of West Australians killed during the First World War, with brief biographical notes  ",http://purl.slwa.wa.gov.au/slwa_b3110532_1
